State,State,Tax,Rent,rent ins/year,car insur/year,car maint,gas,grocery/year,Heal/year
Alabama ,AL,0.05,9504,222,469,400,1550,2600,7080
Alaska,AK,0,14928,123,373,380,2200,3800,8100
Arizona,AZ,0.0417,12624,179,555,380,2000,2600,5232
Arkansas,AR,0.04,8940,214,470,390,1550,2600,4728
California ,CA,0.093,18036,217,733,403,2500,3000,5112
Colorado ,CO,0.0455,15252,156,518,400,1700,3400,4080
Connecticut ,CT,0.06,14160,172,794,420,1820,3400,6960
Delaware ,DE,0.052,13560,150,787,390,1650,3400,6480
Flordia ,FL,0,14100,191,1101,390,1700,3000,5484
Georgia ,GA,0.04,12072,243,756,400,1600,3000,5472
Hawaii ,HI,0.076,19404,164,354,370,2600,4000,5736
Idaho ,ID,0.04625,10236,133,307,385,1900,3400,6000
Illinois ,IL,0.0495,12120,167,442,375,1800,2600,5076
Indiana ,IN,0.0323,9912,155,367,360,1600,2600,5052
Iowa ,IA,0.0563,9468,110,252,360,1600,3000,6276
Kansas ,KS,0.0525,10200,225,410,375,1600,3000,5892
Kentucky ,KY,0.05,9156,170,748,390,1600,3000,5712
Louisisana ,LA,0.04,10392,262,975,390,1530,2600,6540
Maine ,ME,0.0675,10236,150,294,350,1725,4000,5280
Maryland ,MD,0.05,16704,175,767,390,1700,3400,4128
Masssachusetts ,MA,0.05,15384,192,510,380,1800,3800,4356
Michigan ,MI,0.0425,10452,201,948,360,1650,3000,4164
Minnesota ,MN,0.068,11724,153,537,380,1650,3000,3660
Mississippi ,MS,0.04,9360,228,492,400,1500,2600,5508
Missouri ,MO,0.035,9960,134,468,380,1530,2600,5748
Montana ,MT,0.04,9720,162,342,380,1750,3400,5652
Nebraska ,NE,0.0501,9996,132,335,370,1700,3000,8388
Nevada,NV,0,13284,162,860,400,2100,3000,4716
New Hampshire ,NH,0.05,13332,135,389,360,1700,3400,4284
New Jersey ,NJ,0.05525,16008,163,847,400,1800,3400,4860
New Mexico ,NM,0.047,10128,148,385,380,1660,2600,4068
New York ,NY,0.0597,15360,142,1062,380,1900,3000,7188
North Carolina ,NC,0.0525,10884,148,413,400,1600,3000,6192
North Dakota ,ND,0.0227,9912,116,285,370,1700,3000,5916
Ohio ,OH,0.03802,9696,135,328,360,1650,2600,4500
Oklahoma ,OK,0.03,9720,210,423,380,1500,2600,6648
Oregon,OR,0.0875,13320,149,610,390,2200,3400,5244
Pennsylvania ,PA,0.0307,11256,116,427,380,1900,2600,5460
Rhode Island ,RI,0.0475,12048,166,749,390,1770,3000,4188
South Carolina ,SC,0.05,10728,188,558,400,1550,2600,5712
South Dakota ,SD,0,8964,123,275,380,1700,3000,7416
Tennessee ,TN,0,10428,155,371,400,1600,3000,5592
Texas ,TX,0,12540,197,524,385,1500,3000,5232
Utah ,UT,0.0495,12444,138,528,400,1850,2600,5664
Vermont ,VT,0.066,11820,110,292,360,1850,4000,8028
Virginia ,VA,0.05,14808,149,441,400,1600,3000,5748
Washington ,WA,0,15096,140,463,390,2250,3400,4656
West Virginia,WV,0.045,8700,142,458,370,1700,3000,7848
Wisconsin ,WI,0.0627,10272,122,332,360,1650,3000,5484
Wyoming ,WY,0,10260,101,271,390,1800,3400,9492
